A/a,,CODE,ITS EQUIPMENT,DIRECTION ,LOCATION,RELATIVE LOCATION,,Geographical area,Latitude,Latitude,X position,Y position
87,WALL,ΔW-PTZ-4.01,PTZ CAMERA,WEST,4+478,RIGHT WALL OF THE UNDERPASS K/MA,ΔΕΣΠΕΡ,,40.677473,22.924233,,
88,POLE,ΔW-PTZ-4.02,PTZ CAMERA,WEST,4+601,RIGHT SIDE OF THE RAMP K/MA,ΔΕΣΠΕΡ,,40.677517,22.925694,,
89,WALL,ΔWR-PTZ-4.01,PTZ CAMERA,WEST,4+478,RIGHT WALL OF THE OVERPASS K/MA,ΔΕΣΠΕΡ,,40.677564,22.924236,,
90,WALL,ΔW-PTZ-6.01,PTZ CAMERA,WEST,6+462,RIGHT WALL OF THE UNDERPASS K/EY,ΔΕΣΠΕΡ,,40.680339,22.94674,,
91,POLE,ΔW-PTZ-6.02,PTZ CAMERA,WEST,6+505,RIGHT SIDE OF THE RAMP K/EY,ΔΕΣΠΕΡ,,40.68043,22.947255,,
92,POLE,ΔE-PTZ-3.01,PTZ CAMERA,EAST,3+675,RIGHT SIDE OF THE ROAD,ΔΕΣΠΕΡ,,40.677512,22.914733,,
93,POLE,ΔE-PTZ-4.01,PTZ CAMERA,EAST,4+345,RIGHT SIDE OF THE RAMP K/MA,ΔΕΣΠΕΡ,,40.677255,22.922656,,
94,POLE,ΔE-PTZ-5.01,PTZ CAMERA,EAST,5+055,RIGHT SIDE OF THE ROAD,ΔΕΣΠΕΡ,,40.677058,22.931045,,
95,LIGHTING POLE,ΔE-PTZ-5.02,PTZ CAMERA,EAST,5+718,RIGHT SIDE OF THE ROAD/ON LIGHTNING POLE,ΔΕΣΠΕΡ,,40.67736,22.938882,,
96,POLE,ΔE-PTZ-6.01,PTZ CAMERA,EAST,6+076,RIGHT SIDE OF THE ROAD,ΔΕΣΠΕΡ,,40.67866,22.942815,,
97,POLE,ΔE-PTZ-6.02,PTZ CAMERA,EAST,6+417,RIGHT SIDE OF THE RAMP K/EY,ΔΕΣΠΕΡ,,40.679977,22.946267,,
